City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,slave lake,55.2834,-114.769,-1.01,59,100,1.54,CA,1702505687
222,al ghayzah,16.2079,52.176,22.16,70,31,1.42,YE,1702505721
223,bafq,31.6128,55.4107,14.17,27,73,6.03,IR,1702505722
224,dolinsk,47.35,142.8,-11.82,81,81,5.61,RU,1702505722
225,omu-aran,8.1333,5.1,22.94,29,17,0.86,NG,1702505723
226,olonkinbyen,70.9221,-8.7187,1.78,85,100,12.04,SJ,1702505586
227,burhaniye,39.5004,26.9727,8.95,93,75,2.06,TR,1702505724
228,alofi,-19.0595,-169.9187,27.94,74,75,4.63,NU,1702505724
229,crane,31.3974,-102.3501,12.41,94,100,8.87,US,1702505727
230,aykhal,66.0,111.5,-27.59,100,100,2.48,RU,1702505728
231,elin-yurt,43.6731,44.9589,4.45,98,100,2.86,RU,1702505729
232,xilin hot,43.9667,116.0333,-18.32,95,100,5.0,CN,1702505730
233,aconibe,1.2968,10.9369,21.13,80,97,0.63,GQ,1702505731
234,revda,56.801,59.9303,-22.37,84,100,1.26,RU,1702505732
235,ca mau,9.1769,105.15,24.95,83,79,3.86,VN,1702505732
236,naha,26.2125,127.6811,19.38,84,20,2.57,JP,1702505733
237,prado,-17.3411,-39.2208,24.98,75,100,3.61,BR,1702505733
238,asadabad,34.7824,48.1185,4.97,96,100,2.34,IR,1702505734
239,al lagowa,11.4,29.1333,21.22,20,86,6.45,SD,1702505734
240,ha'il,27.5219,41.6907,11.01,62,0,3.09,SA,1702505735
241,igarka,67.4667,86.5833,-25.78,97,95,4.8,RU,1702505735
242,yuyao,30.05,121.1494,11.87,87,11,1.1,CN,1702505736
243,sao joao do piaui,-8.3581,-42.2467,33.79,25,97,3.19,BR,1702505737
244,vikulovo,56.8167,70.6107,-19.7,82,97,4.81,RU,1702505737
245,agbabu,6.5886,4.8343,23.1,57,10,0.78,NG,1702505737
246,argo,37.6333,22.7333,13.21,64,100,1.63,GR,1702505738
247,egilsstadir,65.2653,-14.3948,4.95,65,0,7.72,IS,1702505738
248,koulikoro,14.0,-7.75,19.93,18,4,3.75,ML,1702505739
249,lautoka,-17.6167,177.4667,29.92,45,20,1.54,FJ,1702505593
250,santiago de cao,-7.9589,-79.2392,22.07,78,40,4.12,PE,1702505739
251,karratha,-20.7377,116.8463,25.97,59,0,5.12,AU,1702505522
252,umba,66.6871,34.3429,-14.33,98,99,2.43,RU,1702505740
253,san mariano,7.5,126.0,21.04,91,68,1.3,PH,1702505741
254,peterhead,57.5058,-1.7981,2.38,71,100,11.12,GB,1702505741
255,nha trang,12.25,109.1833,26.0,91,41,2.83,VN,1702505742
256,bonthe,7.5264,-12.505,26.43,81,9,2.47,SL,1702505742
257,afaahiti,-17.75,-149.2833,24.93,88,99,9.12,PF,1702505742
258,quellon,-43.1167,-73.6167,13.25,63,96,1.02,CL,1702505597
259,broome,42.2506,-75.833,0.94,62,75,4.12,US,1702505743
260,mount gambier,-37.8333,140.7667,16.68,76,75,5.61,AU,1702505743
261,amlapura,-8.45,115.6167,25.43,85,69,1.87,ID,1702505744
262,carolina beach,34.0352,-77.8936,13.37,53,49,4.79,US,1702505744
263,arar,30.9753,41.0381,12.01,82,0,5.66,SA,1702505745
264,goure,13.9835,10.2704,15.68,25,4,3.77,NE,1702505745
265,arteche,12.2645,125.4048,26.19,86,82,5.36,PH,1702505745
266,alta,69.9689,23.2717,-11.41,67,9,4.63,NO,1702505746
267,tura,25.5198,90.2201,12.84,64,0,1.06,IN,1702505746
268,shar,49.5886,81.0453,-24.99,99,98,1.1,KZ,1702505747
269,ulety,51.3572,112.4849,-27.4,95,12,2.08,RU,1702505544
270,timimoun,29.2639,0.231,12.21,35,0,3.09,DZ,1702505748
271,belalcazar,2.6547,-75.9928,20.74,80,93,0.84,CO,1702505749
272,port macquarie,-31.4333,152.9167,25.38,59,97,3.0,AU,1702505467
273,chonchi,-42.6128,-73.8092,14.51,59,94,0.9,CL,1702505749
274,tarija,-21.5355,-64.7296,25.95,61,75,3.6,BO,1702505750
275,namibe,-15.1961,12.1522,22.89,71,100,3.9,AO,1702505750
276,eskhar,49.7987,36.5883,-5.33,95,99,4.59,UA,1702505750
277,newport,51.5877,-2.9984,4.19,88,43,2.89,GB,1702505682
278,constantia,44.1833,28.65,7.61,86,100,8.53,RO,1702505751
279,jakarta,-6.2146,106.8451,28.8,89,20,2.06,ID,1702505700
280,turpan,42.9333,89.1667,-6.51,25,51,0.85,CN,1702505752
281,salmon arm,50.6998,-119.3024,2.62,69,99,2.06,CA,1702505726
282,huarmey,-10.0681,-78.1522,22.69,78,13,5.02,PE,1702505600
283,kousseri,12.0769,15.0306,21.94,24,79,5.01,CM,1702505753
284,ariguani,10.25,-74.0,33.64,43,64,1.8,CO,1702505753
285,isla del bosque,22.7333,-105.85,27.02,50,100,2.97,MX,1702505754
286,mazatlan,23.2167,-106.4167,28.98,48,100,0.0,MX,1702505754
287,yantzaza,-3.8278,-78.7594,28.01,68,78,1.55,EC,1702505754
288,hermanus,-34.4187,19.2345,16.23,73,100,3.95,ZA,1702505580
289,luancheng,37.8792,114.6517,-2.91,97,100,4.19,CN,1702505755
290,coquimbo,-29.9533,-71.3436,15.85,88,100,3.6,CL,1702505588
291,mansoa,12.0733,-15.3189,24.11,48,58,2.02,GW,1702505756
292,nova vicosa,-17.8919,-39.3719,25.07,74,90,4.21,BR,1702505320
293,mersa matruh,31.3525,27.2453,17.86,67,6,4.7,EG,1702505756
294,zhanaozen,43.3,52.8,-6.59,47,100,9.66,KZ,1702505757
295,markovo,57.3206,107.0881,-35.13,99,59,1.77,RU,1702505757
296,imperatriz,-5.5264,-47.4917,27.99,65,85,1.91,BR,1702505757
297,lompoc,34.6391,-120.4579,23.16,70,0,5.66,US,1702505583
298,plymouth,41.8334,-70.8328,4.93,49,20,3.6,US,1702505539
